title,2means_label,3means_label,4means_label,5means_label,6means_label,7means_label,8means_label,9means_label,10means_label
the_tomb,1,0,2,4,1,1,2,7,5
dagon,1,2,1,1,3,6,3,0,4
polaris,0,2,3,1,3,5,0,3,2
beyond_the_wall_of_sleep,1,0,2,3,5,6,6,0,5
memory,0,2,1,1,1,5,2,2,0
old_bugs,1,0,2,4,5,3,3,0,4
the_transition_of_juan_romero,1,0,2,1,3,6,3,0,1
the_white_ship,0,1,3,0,2,0,0,1,7
the_doom_that_came_to_sarnath,0,1,1,1,3,0,2,0,7
the_statement_of_randolph_carter,1,0,2,0,2,5,6,7,8
the_terrible_old_man,1,1,2,1,5,2,2,3,2
the_tree,0,0,0,4,1,4,7,5,5
the_cats_of_ulthar,1,0,0,0,4,5,2,6,4
the_temple,1,2,2,1,3,6,3,0,4
facts_concerning_the_late_arthur_jermyn_and_his_family,1,0,2,2,5,6,4,4,5
the_street,0,0,3,1,5,3,3,3,2
celephaïs,0,1,3,0,2,5,0,1,7
from_beyond,1,2,0,3,5,3,3,0,1
nyarlathotep,1,2,0,1,3,2,2,0,1
the_picture_in_the_house,1,0,2,4,5,3,3,8,4
ex_oblivione,0,1,3,1,3,0,0,1,0
the_nameless_city,1,2,3,1,3,5,2,0,1
the_quest_of_iranon,0,1,3,1,3,0,0,3,6
the_moon-bog,1,2,3,1,1,2,2,0,9
the_outsider,1,2,0,1,1,1,2,0,5
the_other_gods,1,2,3,0,2,5,2,0,7
the_music_of_erich_zann,1,2,0,1,1,2,2,3,1
herbert_west_—_reanimator,1,0,2,3,5,3,3,0,4
hypnos,1,2,2,1,3,6,2,0,1
what_the_moon_brings,1,2,1,1,3,0,3,1,7
azathoth,0,1,3,1,3,0,0,1,7
the_hound,1,2,2,1,3,2,1,0,5
the_lurking_fear,1,0,2,4,3,1,3,0,5
the_rats_in_the_walls,1,2,2,1,4,6,3,6,1
the_unnamable,1,0,2,4,5,1,2,7,5
the_festival,1,2,0,1,3,2,2,0,1
the_shunned_house,1,0,2,4,5,6,3,3,4
the_horror_at_red_hook,1,0,2,1,5,3,3,0,4
he,1,0,0,1,3,2,2,8,1
in_the_vault,1,0,2,4,1,1,3,0,5
the_descendant,1,0,2,1,3,2,2,0,4
cool_air,1,0,2,3,5,3,3,0,4
the_call_of_cthulhu,1,0,2,3,5,6,3,0,4
pickman's_model,1,2,0,3,5,3,3,0,4
the_silver_key,1,0,2,0,2,5,6,7,8
the_strange_high_house_in_the_mist,1,2,3,0,2,2,2,0,1
the_dream-quest_of_unknown_kadath,1,2,3,0,2,5,6,7,8
the_case_of_charles_dexter_ward,1,0,2,3,5,3,3,0,4
the_colour_out_of_space,1,0,2,1,0,3,3,0,4
the_very_old_folk,1,0,2,3,4,2,2,6,4
the_thing_in_the_moonlight,1,2,3,1,3,3,3,3,4
the_history_of_the_necronomicon,1,0,2,3,3,2,2,0,3
ibid,1,0,2,4,4,6,5,0,1
the_dunwich_horror,1,0,2,3,5,3,3,8,4
the_whisperer_in_darkness,1,0,2,3,5,3,3,0,4
at_the_mountains_of_madness,1,2,2,1,3,6,3,0,4
the_shadow_over_innsmouth,1,0,2,3,5,3,3,8,4
the_dreams_in_the_witch_house,1,2,0,3,5,3,3,0,4
the_thing_on_the_doorstep,1,0,2,3,5,3,3,0,4
the_evil_clergyman,1,2,0,1,1,3,3,0,1
the_book,1,2,0,1,1,2,2,0,1
the_shadow_out_of_time,1,2,2,1,3,6,3,0,4
the_haunter_of_the_dark,1,2,0,1,1,2,2,0,1
